Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Product_Name,Quantity
MG-17875,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,OFF-LA-10004425,Staple-on labels,3
MG-17875,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,OFF-BI-10000320,GBC Plastic Binding Combs,3
DE-13255,CA-2014-109134,2014-11-05,2014-11-10,Standard Class,FUR-FU-10000320,OIC Stacking Trays,6
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,FUR-FU-10001468,Tenex Antistatic Computer Chair Mats,2
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,2
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,TEC-AC-10004864,Memorex Micro Travel Drive 32 GB,2
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,OFF-ST-10003716,Tennsco Double-Tier Lockers,6
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,TEC-AC-10001101,Sony 16GB Class 10 Micro SDHC R40 Memory Card,5
SZ-20035,CA-2014-132227,2014-11-04,2014-11-10,Standard Class,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",4
SR-20740,CA-2014-133634,2014-11-05,2014-11-10,Standard Class,TEC-AC-10002550,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",3
SR-20740,CA-2014-133634,2014-11-05,2014-11-10,Standard Class,TEC-AC-10002550,Maxell 4.7GB DVD-RW 3/Pack,3
VB-21745,CA-2015-121132,2015-07-17,2015-07-24,Standard Class,OFF-LA-10002368,Avery 479,3
VB-21745,CA-2015-121132,2015-07-17,2015-07-24,Standard Class,OFF-FA-10004248,Advantus T-Pin Paper Clips,4
FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,OFF-SU-10000946,Staple remover,8
FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",6
FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,OFF-BI-10004140,Avery Non-Stick Binders,1
DB-12910,CA-2016-127985,2016-04-01,2016-04-05,Second Class,FUR-FU-10003274,Regeneration Desk Collection,4
ME-17320,CA-2016-159142,2016-04-04,2016-04-05,First Class,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",3
ME-17320,CA-2016-159142,2016-04-04,2016-04-05,First Class,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,3
TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-BI-10003305,Avery Hanging File Binders,3
TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-LA-10001297,Avery 473,2
TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-SU-10001574,Acme Value Line Scissors,3
KH-16630,CA-2016-100153,2016-12-13,2016-12-17,Standard Class,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,4
JM-15265,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,5
JM-15265,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,OFF-FA-10000304,Advantus Push Pins,7
SH-20395,CA-2016-113600,2016-12-15,2016-12-17,Second Class,OFF-BI-10000201,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-PA-10001125,Xerox 1988,4
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-AP-10000252,Harmony HEPA Quiet Air Purifiers,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-AP-10002082,Holmes HEPA Air Purifier,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0,5
DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",2
DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,FUR-CH-10001146,"Global Task Chair, Black",2
DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",10
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,OFF-SU-10000952,Fiskars Home & Office Scissors,4
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,OFF-AR-10000462,Sanford Pocket Accent Highlighters,7
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",5
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,FUR-FU-10004864,Eldon 500 Class Desk Accessories,5
CA-12775,US-2016-132857,2016-12-11,2016-12-17,Standard Class,OFF-AR-10003251,Prang Drawing Pencil Set,3
ST-20530,CA-2017-101273,2017-08-27,2017-08-30,Second Class,OFF-AP-10000804,Hoover Portapower Portable Vacuum,4
SE-20110,CA-2017-155047,2017-08-27,2017-08-30,First Class,OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",1
MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,OFF-ST-10002352,Iris Project Case,8
MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,TEC-PH-10000455,GE 30522EE2,3
MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,6
SP-20620,US-2017-162208,2017-08-27,2017-08-30,First Class,OFF-EN-10004030,Convenience Packs of Business Envelopes,1
GA-14515,CA-2014-120950,2014-11-06,2014-11-11,Standard Class,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",6
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,OFF-PA-10000223,Xerox 2000,3
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,3
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,TEC-PH-10001079,Polycom SoundPoint Pro SE-225 Corded phone,7
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",4
WB-21850,CA-2014-125829,2014-11-04,2014-11-11,Standard Class,TEC-MA-10003246,Hewlett-Packard Deskjet D4360 Printer,4
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-ST-10001321,"Decoflex Hanging Personal Folder File, Blue",6
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,TEC-PH-10002680,Samsung Galaxy Note 3,4
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-PA-10003465,Xerox 1912,5
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",7
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,OFF-ST-10002743,SAFCO Boltless Steel Shelving,3
JP-15520,CA-2014-144666,2014-11-09,2014-11-11,Second Class,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",2
TH-21235,US-2014-134187,2014-11-04,2014-11-11,Standard Class,OFF-AR-10000940,Newell 343,1
TB-21595,US-2014-139640,2014-11-07,2014-11-11,Second Class,OFF-PA-10000304,Xerox 1995,5
TB-21595,US-2014-139640,2014-11-07,2014-11-11,Second Class,OFF-AR-10002240,Panasonic KP-150 Electric Pencil Sharpener,4
RK-19300,CA-2015-160472,2015-07-20,2015-07-25,Second Class,OFF-PA-10003129,Tops White Computer Printout Paper,2
