,Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Quantity
36,ST-20530,CA-2017-101273,2017-08-27,2017-08-30,Second Class,OFF-AP-10000804,4
37,SE-20110,CA-2017-155047,2017-08-27,2017-08-30,First Class,OFF-AR-10003338,1
38,MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,OFF-ST-10002352,8
39,MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,TEC-PH-10000455,3
40,MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,OFF-BI-10003910,6
41,SP-20620,US-2017-162208,2017-08-27,2017-08-30,First Class,OFF-EN-10004030,1
72,SF-20200,CA-2017-163097,2017-08-27,2017-08-31,Standard Class,FUR-FU-10004973,8
99,RW-19540,CA-2017-128041,2017-09-01,2017-09-01,Same Day,FUR-TA-10002607,4
100,RW-19540,CA-2017-128041,2017-09-01,2017-09-01,Same Day,OFF-AP-10001005,4
101,SC-20680,CA-2017-128475,2017-08-26,2017-09-01,Standard Class,TEC-AC-10000158,2
102,DK-12895,CA-2017-133501,2017-08-27,2017-09-01,Standard Class,OFF-PA-10004888,1
103,CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-ST-10004507,2
104,CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-BI-10002012,9
105,CP-12085,CA-2017-144064,2017-08-29,2017-09-01,First Class,OFF-LA-10004544,4
106,CA-12775,CA-2017-145653,2017-09-01,2017-09-01,Same Day,FUR-CH-10004875,7
107,SC-20305,CA-2017-146920,2017-08-28,2017-09-01,Standard Class,OFF-PA-10001461,5
108,SC-20305,CA-2017-146920,2017-08-28,2017-09-01,Standard Class,OFF-PA-10002479,6
109,DP-13000,CA-2017-157350,2017-08-26,2017-09-01,Standard Class,FUR-FU-10000222,5
110,AR-10405,US-2017-134481,2017-08-27,2017-09-01,Standard Class,FUR-TA-10004915,7
111,MG-17650,US-2017-169502,2017-08-28,2017-09-01,Standard Class,OFF-SU-10004115,3
112,MG-17650,US-2017-169502,2017-08-28,2017-09-01,Standard Class,OFF-AP-10001947,5
145,SU-20665,CA-2017-111388,2017-09-02,2017-09-02,Same Day,FUR-CH-10003061,3
146,BW-11110,CA-2017-154074,2017-08-31,2017-09-02,Second Class,FUR-CH-10002331,2
147,BW-11110,CA-2017-154074,2017-08-31,2017-09-02,Second Class,OFF-ST-10002370,7
180,MD-17860,CA-2017-104024,2017-08-29,2017-09-03,Second Class,OFF-AR-10001972,7
181,KN-16705,CA-2017-126067,2017-08-28,2017-09-03,Standard Class,FUR-TA-10000617,5
